DistrictNCES,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,Population,Confirmed_Cases_Sept1_Nov17
1911790,Forest City Community School District,Public,Forest City,IA,1219.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,10354,13
1911790,Forest City Community School District,Public,Forest City,IA,1219.0,Hybrid,Yes,Unknown,Yes,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,7381,0
1911820,Fort Dodge Community School District,Public,Fort Dodge,IA,3923.0,Hybrid,Yes,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,35904,18
1911850,Fort Madison Community School District,Public,Fort Madison,IA,1946.0,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,33657,9
1912510,Gilbert Community School District,Public,Gilbert,IA,1579.0,Hybrid,Yes,Unknown,Pending,Yes,Required for all staff,Required for middle/high school students only,Yes,Yes,Never closed,Yes,97117,3
1900040,East Marshall Community School District,Public,Gilman,IA,909.0,On Premises,Unknown,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,39369,7
1900040,East Marshall Community School District,Public,Gilman,IA,909.0,On Premises,Unknown,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,18504,4
1900040,East Marshall Community School District,Public,Gilman,IA,909.0,On Premises,Unknown,Yes,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,16854,10
1912690,Glenwood Community School District,Public,Glenwood,IA,2120.0,On Premises,Yes,Unknown,Yes,Unknown,Required for all staff,Not required,Yes,Yes,Never closed,Yes,15109,4
1912690,Glenwood Community School District,Public,Glenwood,IA,2120.0,On Premises,Yes,Unknown,Yes,Unknown,Required for all staff,Not required,Yes,Yes,Never closed,Yes,93206,24
1913110,Nodaway Valley Community School District,Public,Greenfield,IA,645.0,Hybrid,Yes,No,No,Yes,Unknown,Required for middle/high school students only,Yes,Yes,Unknown,Unknown,16338,2
1913230,Griswold Community School District,Public,Griswold,IA,630.0,Hybrid,Yes,Yes,Yes,Yes,Not required,Required for high school students only,Yes,Yes,Pending,Yes,9917,5
1913230,Griswold Community School District,Public,Griswold,IA,630.0,Hybrid,Yes,Yes,Yes,Yes,Not required,Required for high school students only,Yes,Yes,Pending,Yes,93206,24
1913290,Grundy Center Community School District,Public,Grundy Center,IA,625.0,On Premises,No,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,16854,10
1913500,Harlan Community School District,Public,Harlan,IA,1648.0,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Not required,Yes,Yes,Never closed,Yes,11454,2
1918240,East Mills Community School District,Public,Hastings,IA,578.0,On Premises,Yes,Unknown,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,15109,4
1918240,East Mills Community School District,Public,Hastings,IA,578.0,On Premises,Yes,Unknown,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,9917,5
1931290,West Sioux Community School District,Public,Hawarden,IA,726.0,On Premises,Yes,Yes,Yes,No,Not required,Not required,Yes,Pending,Pending,Unknown,25177,16
1931290,West Sioux Community School District,Public,Hawarden,IA,726.0,On Premises,Yes,Yes,Yes,No,Not required,Not required,Yes,Pending,Pending,Unknown,34855,19
1914160,Hinton Community School District,Public,Hinton,IA,829.0,Hybrid,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,25177,16
1912230,Galva-Holstein Community School District,Public,Holstein,IA,500.0,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,9721,7
1905190,Boyden-Hull Community School District,Public,Hull,IA,666.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,11755,6
1905190,Boyden-Hull Community School District,Public,Hull,IA,666.0,Hybrid,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Unknown,Unknown,Unknown,34855,19
1919740,Mormon Trail Community School District,Public,Humeston,IA,250.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,8600,1
1919740,Mormon Trail Community School District,Public,Humeston,IA,250.0,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,6441,4
1904200,Ballard Community School District,Public,Huxley,IA,1767.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,490161,84
1904200,Ballard Community School District,Public,Huxley,IA,1767.0,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Unknown,97117,3
1914640,Indianola Community School District,Public,Indianola,IA,3671.0,Hybrid,Yes,No,Yes,Yes,Not required,Required for middle/high school students only,Yes,Yes,Unknown,Yes,51466,4
1931020,West Lyon Community School District,Public,Inwood,IA,890.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,11755,6
1931020,West Lyon Community School District,Public,Inwood,IA,890.0,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,34855,19
1914700,Iowa City Community School District,Public,Iowa City,IA,14074.0,Hybrid,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,151140,9
